Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
203365,,,MYRTACEAE,Myrtus,,,,,Myrtus communis,,,,communis,L.,,,
164316,,,NYMPHAEACEAE,Nuphar,,,,,Nuphar lutea,,,,lutea,(L.) SM.,,,
164237,,,NYMPHAEACEAE,Nymphaea,,,,,Nymphaea alba,,,,alba,L.,,,
203366,,,OLEACEAE,Fraxinus,,,,,Fraxinus angustifolia,,,,angustifolia,Vahl,,,
203367,,,OLEACEAE,Fraxinus,,,,,Fraxinus excelsior,,,,excelsior,L.,,,
63005,,,OLEACEAE,Olea,,,,,Olea europaea,,,,europaea,L.,,,
164450,,,ONAGRACEAE,Epilobium,,,,,Epilobium parviflorum,,,,parviflorum,Schreber,,,
203369,,,ONOCLEACEAE,Onoclea,,,,,Onoclea struthiopteris,,,,struthiopteris,(L.) Roth.,,,
55696211,,,OPHIOGLOSSACEAE,Botrychium,,,,,Botrychium lunaria,,,,lunaria,(L.) Sw.,,,
175922,,,ORCHIDACEAE,Anacamptis,,,,,Anacamptis coriophora,,,,coriophora,"(L.) R.M.Bateman, Pridgeon &amp; M.W.Chase",,,
164122,,,ORCHIDACEAE,Anacamptis,,,,,Anacamptis laxiflora,,,,laxiflora,(Lam.) R.M.Bateman &amp; Pridgeon &amp; Chase,,,
175968,,,ORCHIDACEAE,Anacamptis,,,,,Anacamptis papilionacea,,,,papilionacea,"(L.) R.M.Bateman, Pridgeon &amp; M.W.Chase",,,
175924,,,ORCHIDACEAE,Anacamptis,,,,,Anacamptis pyramidalis,,,,pyramidalis,(L.) Rich.,,,
176022,,,ORCHIDACEAE,Anacamptis,,,,,Anacamptis sancta,,,,sancta,"(L.) R.M.Bateman, Pridgeon &amp; M.W.Chase",,,
203370,,,ORCHIDACEAE,Cypripedium,,,,,Cypripedium guttatum,,,,guttatum,Sw.,,,
176002,,,ORCHIDACEAE,Dactylorhiza,,,,,Dactylorhiza iberica,,,,iberica,(M.Bieb. ex Willd.) Soó,,,
199617,,,ORCHIDACEAE,Dactylorhiza,,,,,Dactylorhiza romana,,,,romana,(Sebast.) Soó,,,
175992,,,ORCHIDACEAE,Epipactis,,,,,Epipactis helleborine,,,,helleborine,(L.) Crantz,,,
175969,,,ORCHIDACEAE,Gymnadenia,,,,,Gymnadenia conopsea,,,,conopsea,(L.) R.Br. in W.T.Aiton,,,
176044,,,ORCHIDACEAE,Himantoglossum,,,,,Himantoglossum comperianum,,,,comperianum,(Steven) P.Delforge,,,
